Site ID,Latitude,Longitude,Site Address,CGI
1001,12.9716°N,77.5946°E,"MG Road, Bengaluru, Karnataka, India",404-45-1001-1
1002,28.7041°N,77.1025°E,"Connaught Place, New Delhi, India",404-45-1002-1
1003,19.0760°N,72.8777°E,"Nariman Point, Mumbai, Maharashtra, India",404-45-1003-1
1004,13.0827°N,80.2707°E,"T. Nagar, Chennai, Tamil Nadu, India",404-45-1004-1
1005,22.5726°N,88.3639°E,"Park Street, Kolkata, West Bengal, India",404-45-1005-1
1006,17.3850°N,78.4867°E,"Banjara Hills, Hyderabad, Telangana, India",404-45-1006-1
1007,23.0225°N,72.5714°E,"SG Highway, Ahmedabad, Gujarat, India",404-45-1007-1
1008,26.9124°N,75.7873°E,"MI Road, Jaipur, Rajasthan, India",404-45-1008-1
1009,18.5204°N,73.8567°E,"Koregaon Park, Pune, Maharashtra, India",404-45-1009-1
1010,11.0168°N,76.9558°E,"RS Puram, Coimbatore, Tamil Nadu, India",404-45-1010-1
1011,21.1702°N,72.8311°E,"Athwa, Surat, Gujarat, India",404-45-1011-1
1012,26.8467°N,80.9462°E,"Hazratganj, Lucknow, Uttar Pradesh, India",404-45-1012-1
1013,25.3176°N,82.9739°E,"Lanka, Varanasi, Uttar Pradesh, India",404-45-1013-1
1014,23.2599°N,77.4126°E,"MP Nagar, Bhopal, Madhya Pradesh, India",404-45-1014-1
1015,21.2514°N,81.6296°E,"GE Road, Raipur, Chhattisgarh, India",404-45-1015-1
1016,15.2993°N,74.1240°E,"Panaji, Goa, India",404-45-1016-1
1017,9.9312°N,76.2673°E,"MG Road, Kochi, Kerala, India",404-45-1017-1
1018,11.9416°N,79.8083°E,"White Town, Puducherry, India",404-45-1018-1
1019,27.1767°N,78.0081°E,"Tajganj, Agra, Uttar Pradesh, India",404-45-1019-1
1020,31.1048°N,77.1734°E,"Mall Road, Shimla, Himachal Pradesh, India",404-45-1020-1
1021,34.0837°N,74.7973°E,"Lal Chowk, Srinagar, Jammu and Kashmir, India",404-45-1021-1
1022,15.8281°N,78.0373°E,"Gandhi Road, Tirupati, Andhra Pradesh, India",404-45-1022-1
1023,24.5854°N,73.7125°E,"Surajpole, Udaipur, Rajasthan, India",404-45-1023-1
1024,30.7333°N,76.7794°E,"Sector 17, Chandigarh, India",404-45-1024-1
1025,25.4484°N,78.5685°E,"Civil Lines, Jhansi, Uttar Pradesh, India",404-45-1025-1
1026,22.3072°N,73.1812°E,"Alkapuri, Vadodara, Gujarat, India",404-45-1026-1
1027,23.3441°N,85.3096°E,"Main Road, Ranchi, Jharkhand, India",404-45-1027-1
1028,20.2961°N,85.8245°E,"Saheed Nagar, Bhubaneswar, Odisha, India",404-45-1028-1
1029,24.7914°N,85.0002°E,"Civil Lines, Gaya, Bihar, India",404-45-1029-1
1030,26.1445°N,91.7362°E,"GS Road, Guwahati, Assam, India",404-45-1030-1
1031,23.8315°N,91.2868°E,"Dhaleswar, Agartala, Tripura, India",404-45-1031-1
1032,27.3389°N,88.6065°E,"MG Marg, Gangtok, Sikkim, India",404-45-1032-1
1033,25.5941°N,85.1376°E,"Fraser Road, Patna, Bihar, India",404-45-1033-1
1034,10.8505°N,76.2711°E,"Palakkad, Kerala, India",404-45-1034-1
1035,32.7266°N,74.8570°E,"Residency Road, Jammu, Jammu and Kashmir",404-45-1035-1
1036,24.8133°N,92.7979°E,"Thangal Bazar, Imphal, Manipur, India",404-45-1036-1
1037,25.5788°N,91.8933°E,"Police Bazar, Shillong, Meghalaya, India",404-45-1037-1
1038,22.5674°N,88.3700°E,"Salt Lake, Kolkata, West Bengal, India",404-45-1038-1
1039,26.7337°N,88.3988°E,"Hill Cart Road, Siliguri, West Bengal, India",404-45-1039-1
1040,29.9457°N,78.1642°E,"Haridwar Main Market, Haridwar, Uttarakhand",404-45-1040-1
1041,27.4712°N,94.9110°E,"Bank Tiniali, Itanagar, Arunachal Pradesh",404-45-1041-1
1042,21.7645°N,78.8718°E,"Katangi Road, Seoni, Madhya Pradesh, India",404-45-1042-1
1043,26.4725°N,89.5121°E,"Station Road, Cooch Behar, West Bengal",404-45-1043-1
1044,31.6340°N,74.8723°E,"Ranjit Avenue, Amritsar, Punjab, India",404-45-1044-1
1045,28.4595°N,77.0266°E,"Cyber Hub, Gurugram, Haryana, India",404-45-1045-1
1046,24.7914°N,73.0551°E,"Jawahar Nagar, Jodhpur, Rajasthan, India",404-45-1046-1
1047,23.7957°N,86.4304°E,"Hirapur, Dhanbad, Jharkhand, India",404-45-1047-1
1048,27.0436°N,88.2636°E,"Chota Bazar, Kalimpong, West Bengal, India",404-45-1048-1
1049,24.7912°N,93.9418°E,"Moreh, Tengnoupal, Manipur, India",404-45-1049-1
1050,19.9975°N,73.7898°E,"College Road, Nashik, Maharashtra, India",404-45-1050-1
1051,22.2904°N,70.8022°E,"Yagnik Road, Rajkot, Gujarat, India",404-45-1051-1
1052,15.8501°N,74.4987°E,"Belgaum Fort Area, Belgaum, Karnataka",404-45-1052-1
1053,25.6127°N,85.1589°E,"Dak Bungalow Road, Patna, Bihar",404-45-1053-1
1054,21.1611°N,79.0025°E,"Sadar, Nagpur, Maharashtra",404-45-1054-1
1055,22.9676°N,88.4345°E,"Barrackpore, West Bengal, India",404-45-1055-1
1056,23.0216°N,72.5714°E,"Maninagar, Ahmedabad, Gujarat",404-45-1056-1
1057,21.8390°N,86.8984°E,"Bistupur, Jamshedpur, Jharkhand",404-45-1057-1
1058,19.2183°N,73.0865°E,"Kalyan, Maharashtra, India",404-45-1058-1
1059,20.1450°N,85.5293°E,"Cuttack Road, Cuttack, Odisha, India",404-45-1059-1
1060,27.5619°N,76.6250°E,"Bharatpur Junction, Bharatpur, Rajasthan",404-45-1060-1
1061,25.2838°N,86.0730°E,"Bhagalpur Market, Bhagalpur, Bihar",404-45-1061-1
1062,28.5355°N,77.3910°E,"Sector 18, Noida, Uttar Pradesh",404-45-1062-1
1063,26.8755°N,80.9050°E,"Gomti Nagar, Lucknow, Uttar Pradesh",404-45-1063-1
1064,13.6344°N,79.4219°E,"Railway Station Road, Nellore, Andhra Pradesh",404-45-1064-1
1065,18.4399°N,79.1288°E,"Subedari, Warangal, Telangana",404-45-1065-1
1066,23.5334°N,87.3295°E,"GT Road, Asansol, West Bengal",404-45-1066-1
1067,14.4673°N,78.8242°E,"Bellary Chowk, Anantapur, Andhra Pradesh",404-45-1067-1
1068,29.4727°N,77.7081°E,"Meerut Cantt, Meerut, Uttar Pradesh",404-45-1068-1
1069,24.1810°N,88.2715°E,"Rabindra Avenue, Malda, West Bengal",404-45-1069-1
1070,25.6712°N,94.1086°E,"Dimapur Market, Dimapur, Nagaland",404-45-1070-1
1071,22.8399°N,86.1962°E,"Purulia Road, Purulia, West Bengal",404-45-1071-1
1072,15.2673°N,76.3872°E,"Hampi Bazaar, Hampi, Karnataka",404-45-1072-1
1073,23.1645°N,79.9501°E,"Kachhpura, Jabalpur, Madhya Pradesh",404-45-1073-1
1074,21.9032°N,70.3687°E,"Dhoraji, Rajkot, Gujarat",404-45-1074-1
1075,24.8326°N,92.7882°E,"Sonai Road, Silchar, Assam",404-45-1075-1
1076,19.8380°N,75.8822°E,"CIDCO, Aurangabad, Maharashtra",404-45-1076-1
1077,22.7206°N,75.8688°E,"Vijay Nagar, Indore, Madhya Pradesh",404-45-1077-1
1078,26.4725°N,80.3319°E,"Mall Road, Kanpur, Uttar Pradesh",404-45-1078-1
1079,15.4967°N,73.8278°E,"Margao, Goa",404-45-1079-1
1080,31.6223°N,74.8753°E,"Ranjit Avenue, Amritsar, Punjab",404-45-1080-1
1081,28.4089°N,77.3178°E,"Sadar Bazaar, Gurgaon, Haryana",404-45-1081-1
1082,26.2389°N,92.5375°E,"AT Road, Tezpur, Assam",404-45-1082-1
1083,20.9333°N,77.7500°E,"Amravati Camp, Amravati, Maharashtra",404-45-1083-1
1084,24.1535°N,88.5514°E,"English Bazar, Murshidabad, West Bengal",404-45-1084-1
1085,34.1716°N,77.5848°E,"Leh Main Bazaar, Leh, Ladakh",404-45-1085-1
1086,23.7956°N,86.4304°E,"Hirapur, Dhanbad, Jharkhand",404-45-1086-1
1087,22.6471°N,88.3841°E,"Salt Lake Sector V, Kolkata, West Bengal",404-45-1087-1
1088,18.1794°N,83.4252°E,"Dabagardens, Visakhapatnam, Andhra Pradesh",404-45-1088-1
1089,21.7645°N,72.1519°E,"Bhavnagar Junction, Bhavnagar, Gujarat",404-45-1089-1
1090,29.9457°N,78.1642°E,"Har Ki Pauri, Haridwar, Uttarakhand",404-45-1090-1
1091,19.9677°N,73.7872°E,"Nashik Road, Nashik, Maharashtra",404-45-1091-1
1092,22.4803°N,88.3355°E,"Behala Chowrasta, Kolkata, West Bengal",404-45-1092-1
1093,32.7266°N,74.8570°E,"Gandhi Nagar, Jammu, Jammu and Kashmir",404-45-1093-1
1094,26.5833°N,93.8833°E,"Sivasagar Town, Sivasagar, Assam",404-45-1094-1
1095,25.3970°N,86.4872°E,"Samastipur Town, Samastipur, Bihar",404-45-1095-1
1096,27.4975°N,77.6736°E,"Govardhan Road, Mathura, Uttar Pradesh",404-45-1096-1
1097,25.5788°N,91.8933°E,"Police Bazaar, Shillong, Meghalaya",404-45-1097-1
1098,11.4102°N,76.6950°E,"Ooty Main Road, Ooty, Tamil Nadu",404-45-1098-1
1099,22.2952°N,73.1957°E,"Sayajigunj, Vadodara, Gujarat",404-45-1099-1
1100,14.7600°N,78.5739°E,"Kadapa Bypass, Kadapa, Andhra Pradesh",404-45-1100-1
1101,12.2958°N,76.6394°E,"Sayyaji Rao Road, Mysuru, Karnataka",404-45-1101-1
1102,21.1702°N,72.8311°E,"Adajan, Surat, Gujarat",404-45-1102-1
1103,22.3040°N,70.8022°E,"Yagnik Road, Rajkot, Gujarat",404-45-1103-1
1104,19.9600°N,73.7600°E,"CBS, Nashik, Maharashtra",404-45-1104-1
1105,10.7905°N,78.7047°E,"Rockfort, Tiruchirapalli, Tamil Nadu",404-45-1105-1
1106,13.6288°N,79.4192°E,"Alipiri, Tirupati, Andhra Pradesh",404-45-1106-1
1107,15.1394°N,76.9214°E,"Vidyanagar, Ballari, Karnataka",404-45-1107-1
1108,16.5062°N,80.6480°E,"Benz Circle, Vijayawada, Andhra Pradesh",404-45-1108-1
1109,22.7378°N,75.8893°E,"Sapna Sangeeta, Indore, Madhya Pradesh",404-45-1109-1
1110,20.3522°N,85.8181°E,"Jayadev Vihar, Bhubaneswar, Odisha",404-45-1110-1
1111,23.2156°N,77.4326°E,"New Market, Bhopal, Madhya Pradesh",404-45-1111-1
1112,26.4757°N,89.5348°E,"Buxirhat, Cooch Behar, West Bengal",404-45-1112-1
1113,30.7352°N,76.7910°E,"Manimajra, Chandigarh",404-45-1113-1
1114,28.9845°N,77.7064°E,"Roorkee Main Road, Roorkee, Uttarakhand",404-45-1114-1
1115,25.4405°N,81.8400°E,"Civil Lines, Prayagraj, Uttar Pradesh",404-45-1115-1
1116,22.4707°N,70.0577°E,"Madhapar, Bhuj, Gujarat",404-45-1116-1
1117,11.6643°N,92.7395°E,"Aberdeen Bazaar, Port Blair, Andaman",404-45-1117-1
1118,24.7791°N,84.9813°E,"Rajendra Ashram, Gaya, Bihar",404-45-1118-1
1119,23.7954°N,86.4121°E,"Bank More, Dhanbad, Jharkhand",404-45-1119-1
1120,27.1526°N,80.8684°E,"Alambagh, Lucknow, Uttar Pradesh",404-45-1120-1
1121,26.8497°N,75.7604°E,"Jawahar Circle, Jaipur, Rajasthan",404-45-1121-1
1122,21.5239°N,70.4579°E,"Gondal Road, Rajkot, Gujarat",404-45-1122-1
1123,24.7711°N,92.7965°E,"Thangal Bazar, Imphal, Manipur",404-45-1123-1
1124,19.8807°N,75.3433°E,"Samarth Nagar, Aurangabad, Maharashtra",404-45-1124-1
1125,10.0762°N,78.7875°E,"Periyar Bus Stand, Madurai, Tamil Nadu",404-45-1125-1
1126,31.9110°N,75.7528°E,"Pathankot Chowk, Pathankot, Punjab",404-45-1126-1
1127,27.0326°N,88.5140°E,"Deorali, Gangtok, Sikkim",404-45-1127-1
1128,22.4909°N,88.4055°E,"Ballygunge, Kolkata, West Bengal",404-45-1128-1
1129,13.0031°N,80.2565°E,"Anna Nagar, Chennai, Tamil Nadu",404-45-1129-1
1130,16.9915°N,73.3119°E,"Khed, Ratnagiri, Maharashtra",404-45-1130-1
1131,14.1670°N,75.0403°E,"PB Road, Davanagere, Karnataka",404-45-1131-1
1132,28.6139°N,77.2090°E,"Karol Bagh, New Delhi, India",404-45-1132-1
1133,22.5726°N,88.3990°E,"Salt Lake Sector V, Kolkata, West Bengal",404-45-1133-1
1134,18.6160°N,73.7690°E,"Hinjawadi, Pune, Maharashtra",404-45-1134-1
