District,Subdistrict,Site_ID,Latitude,Longitude,AQI,Distance_km,Accessibility,Terrain,Environmental_Interference,AQI_Score,Distance_Score,Accessibility_Score,Environmental_Score,Total_Score
Bangalore Urban,Whitefield,WHI6734,12.990879454763027,77.73887926357774,174.83570765056163,6.964574916377072,7,Urban,8,6.503285846988768,5.356950055748619,7,3,5.489894683334908
Bangalore Urban,Whitefield,WHI9322,12.955033775002512,77.69785801361297,143.08678494144075,0.7984751672891355,2,Rural,6,7.138264301171184,9.467683221807242,2,5,5.644573665686047
Bangalore Urban,Whitefield,WHI9666,12.925635967469775,77.68707561825373,223.11890601730087,9.371866973474502,10,Urban,3,5.537621879653982,3.752088684350332,10,8,7.045546547018379
Bangalore Urban,Whitefield,WHI2528,12.959421579214045,77.77349077972262,226.93574838072988,1.173530984439967,3,Semi-urban,9,5.461285032385402,9.217646010373354,3,2,4.796668509070418
Bangalore Urban,Whitefield,WHI1775,12.986580972386095,77.72461372443657,119.96806550405975,0.9986335561706667,1,Urban,8,7.6006386899188065,9.334244295886222,1,3,4.903688811955317
Bangalore Urban,Whitefield,WHI4843,12.99298252692859,77.72326402870422,135.41531251033615,3.180389605120142,2,Rural,2,7.291693749793277,7.879740263253239,2,9,6.278273815771965
Bangalore Urban,Whitefield,WHI8629,12.990454479627079,77.71438866919253,184.9199470665861,3.3417515050776054,9,Hilly,5,6.301601058668277,7.772165663281597,9,6,7.403361627554055
Bangalore Urban,Whitefield,WHI5887,12.959980956072053,77.70942141285965,141.41855823867908,5.672923237057044,9,Urban,1,7.171628835226418,6.218051175295304,9,10,8.18883856086911
Bangalore Urban,Whitefield,WHI6258,12.960539336635803,77.71141393572462,147.8231598763251,3.383214859287675,8,Rural,1,7.043536802473498,7.744523427141551,8,10,8.244838217280087
Bangalore Urban,Whitefield,WHI7184,12.97953639773029,77.76836707906621,136.23495448768037,13.766915295384822,9,Semi-urban,2,7.275300910246392,0.8220564697434524,9,9,6.610574299485141
Bangalore Urban,Whitefield,WHI3731,12.985195712739726,77.74493301209557,137.712615628648,9.74458333465059,3,Semi-urban,5,7.2457476874270395,3.50361111023294,3,6,4.7250523150436425
Bangalore Urban,Whitefield,WHI2028,13.01245408858502,77.76140224418396,111.51661131669458,8.638519364757695,7,Urban,10,7.769667773666108,4.240987090161537,7,1,4.964180327273606
Mumbai Suburban,Andheri,AND2757,19.09329203829687,72.87077136220483,154.35235341190855,2.5203060888851976,7,Semi-urban,4,6.912952931761829,8.319795940743202,7,7,7.312539571538167
Mumbai Suburban,Andheri,AND4157,19.149856821350216,72.87889789198397,135.04963247670662,13.266783665721237,10,Rural,9,7.299007350465868,1.1554775561858424,10,2,5.248670859139635
Mumbai Suburban,Andheri,AND6450,19.084659639349514,72.86248589530834,144.73714329994104,5.203002804576473,7,Rural,7,7.105257134001178,6.531331463615685,7,4,6.1538842927041575
Mumbai Suburban,Andheri,AND2306,19.146614559739117,72.84949190244463,102.23267776411477,6.693062935080716,4,Urban,3,7.955346444717705,5.537958043279523,4,8,6.175558799763422
Mumbai Suburban,Andheri,AND1663,19.10256699028339,72.84498970294237,150.25567283212305,14.172190706731527,6,Urban,8,6.994886543357538,0.5518728621789819,6,3,4.086945524216253
Mumbai Suburban,Andheri,AND7585,19.128271706300566,72.85772666421414,138.27064333124267,14.455485776660613,7,Semi-urban,1,7.234587133375147,0.3630094822262583,7,10,6.137669797231594
Mumbai Suburban,Andheri,AND6249,19.0960564123224,72.88209162102312,127.91169883869935,8.198551458098478,10,Hilly,7,7.4417660232260125,4.534299027934347,10,4,6.621927961628789
Mumbai Suburban,Andheri,AND5218,19.125492199266528,72.89354576537959,145.79174574094114,4.011319105022675,6,Urban,4,7.084165085181178,7.325787263318216,6,7,6.79827983286579
Mumbai Suburban,Andheri,AND5282,19.138478868589743,72.89685106124861,147.7298672356582,3.204518400797886,3,Semi-urban,4,7.0454026552868365,7.863654399468077,3,7,6.024994130924386
Mumbai Suburban,Andheri,AND9338,19.066492904603507,72.87108837524694,160.84683630811713,5.555656815730076,7,Urban,1,6.783063273837657,6.2962287895132825,7,10,7.530669852145852
Mumbai Suburban,Andheri,AND9120,19.14039390953166,72.88581211053354,171.40064204947137,2.1453660579885416,7,Semi-urban,10,6.571987159010573,8.569755961340972,7,1,5.806836422137358
Mumbai Suburban,Andheri,AND9815,19.088214746494362,72.88439856414308,50.0,8.550411768192204,1,Urban,5,9.0,4.299725487871864,1,6,4.674931371967966
Delhi NCR,Gurgaon,GUR3255,28.445512681194383,77.01642886171514,162.99413971242117,13.508098769312367,8,Semi-urban,1,6.7401172057515755,0.994600820458422,8,10,6.49667364626492
Delhi NCR,Gurgaon,GUR6539,28.472782848153887,76.99257259684956,189.09114358886552,13.52903573364265,4,Semi-urban,9,6.218177128222689,0.9806428442382338,4,2,3.188796136704096
Delhi NCR,Gurgaon,GUR9352,28.477270567792342,77.04367651335524,158.74165059957357,0.7620927724250526,5,Urban,8,6.825166988008529,9.491938151716631,5,3,5.988017935530864
Delhi NCR,Gurgaon,GUR5496,28.47346696091425,77.06143010694447,89.15725538203804,4.966881481859644,3,Semi-urban,6,8.216854892359239,6.688745678760237,3,5,5.465557398161907
Delhi NCR,Gurgaon,GUR5893,28.471802476339754,77.05653301731876,193.93367740954477,9.85399874944319,1,Urban,3,6.121326451809105,3.4306675003712064,1,8,4.381932165454622
Delhi NCR,Gurgaon,GUR8679,28.46648037792883,77.05416986128756,138.02027459030953,3.0681048514022096,5,Rural,9,7.239594508193808,7.954596765731861,5,2,5.436568093071727
Delhi NCR,Gurgaon,GUR1699,28.464748847015194,77.03650632222538,143.61976028593128,12.86863710427672,5,Urban,1,7.127604794281374,1.420908597148853,5,10,5.780748108143488
Delhi NCR,Gurgaon,GUR2816,28.443522980464067,77.00025434720175,167.0795402974358,6.223026268737347,6,Semi-urban,8,6.658409194051283,5.851315820841769,6,3,5.344510794020699
Delhi NCR,Gurgaon,GUR1784,28.437874728416276,77.0115761529577,92.61400135874999,12.805712026407779,9,Rural,7,8.147719972825001,1.4628586490614808,9,4,5.6952586568303705
Delhi NCR,Gurgaon,GUR6986,28.441423265983804,77.05784250399307,219.48014140732954,4.215000682119642,8,Hilly,10,5.61039717185341,7.189999545253571,8,1,5.569579320684074
Delhi NCR,Gurgaon,GUR6919,28.49479554340556,76.98748550946864,122.20275511126913,8.885062044444522,6,Urban,10,7.555944897774617,4.076625303703652,6,1,4.5803453054808365
Delhi NCR,Gurgaon,GUR7457,28.46383801712368,77.01078871269155,143.61325857680572,12.975866965519291,1,Urban,6,7.127734828463885,1.3494220229871392,1,5,3.312902471439562
Kolkata,Salt Lake,SAL6691,22.564398611761643,88.43950821034088,167.7209792559831,3.6294048987042262,5,Semi-urban,6,6.645580414880338,7.5803967341971825,5,5,5.974215266525364
Kolkata,Salt Lake,SAL5142,22.539651354905175,88.41282191684112,55.984370577372175,10.64292705612431,8,Rural,2,8.880312588452558,2.9047152959171263,8,9,7.152241341669793
Kolkata,Salt Lake,SAL6177,22.606566757529183,88.38937490261358,50.0,1.6376175294628563,5,Urban,7,9.0,8.908254980358096,5,4,6.527063745089524
Kolkata,Salt Lake,SAL2664,22.57354830274461,88.42696499106889,159.32271573847137,3.012767641027264,1,Semi-urban,6,6.813545685230572,7.991488239315157,1,5,4.910581196874904
Kolkata,Salt Lake,SAL5070,22.560194050725134,88.45093787525968,197.26908450437836,10.02811426325242,5,Semi-urban,7,6.054618309912431,3.3145904911650534,5,4,4.53957128477375
Kolkata,Salt Lake,SAL4506,22.539294451492246,88.41594334894447,213.32034276864374,11.488768601733351,9,Urban,5,5.733593144627125,2.3408209321777655,9,6,5.931923861969866
